speaker_id,score
D1,84.57
D10,74.73
D11,88.89
D12,79.03
D13,92.85
D15,71.14
D18,89.11
D19,83.43
D2,34.62
D20,89.79
D21,50.95
D22,77.95
D23,88.24
D24,74.86
D25,87.56
D26,35.92
D27,78.61
D28,84.61
D29,68.86
D3,94.17
D30,83.85
D41,82.90
D44,80.74
D46,75.55
D49,67.82
D51,75.97
D53,68.55
D54,72.50
D58,85.43
D60,64.96
D62,84.64
D63,87.29
D64,86.24
D65,87.65
D66,77.39
D67,89.98
D68,77.18
D71,98.99
D79,51.41
D8,96.01
D80,68.51
D82,98.15
D83,87.13
D84,80.74
D86,97.18
D87,81.74
D9,100.32
G1,78.44
H11,65.10
H12,74.99
H13,69.15
H14,90.27
H15,68.28
H16,39.23
H17,95.47
H18,91.97
H19,97.40
H20,95.01
H21,86.52
H23,80.90
H24,90.95
H25,54.81
H27,53.49
H29,76.98
H31,70.53
H33,81.31
H35,88.82
H37,84.70
H39,86.61
H41,53.32
H8,58.42
H9,89.74
L1,83.24
L10,82.12
L4,78.36
L5,75.83
L6,76.71
L7,78.99
L8,68.85
V1,90.67
V3,90.55
V5,83.24
