speaker_id,score
0007,2.30
0008,2.33
0009,2.33
0010,2.52
0011,2.74
0012,2.29
0013,2.51
0014,3.22
0015,1.94
0016,4.48
0017,1.56
0018,2.83
0019,1.92
0020,3.90
0021,1.64
0022,2.69
0023,2.24
0024,1.81
0025,2.07
0026,2.63
0027,1.49
0028,3.91
0029,3.32
0030,3.65
0031,4.27
0032,2.78
0033,2.46
0035,3.39
0037,3.23
0038,1.82
0039,1.65
0040,2.62
0041,2.43
0042,2.41
0043,3.55
0044,1.70
0046,3.14
0047,3.10
0058,4.32
0066,3.49
0067,2.40
0070,3.98
0077,4.13
0078,4.10
0079,3.33
0109,1.69
0111,2.24
0113,3.49
0115,2.60
0117,2.17
